PartNumber,Name,EnrichedFields
KL4066IASRS,Kaspersky Next EDR Optimum 150-249 User 4 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4069IA1UTS,Kaspersky Next EDR Expert Middle East Edition. 500-999 User 3 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4065IAYDS,Kaspersky Next XDR Foundations 5000+ User 2 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4065IATDS,Kaspersky Next XDR Foundations 250-499 User 2 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4069IA1YDS,Kaspersky Next EDR Expert Middle East Edition. 5000+ User 2 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4056IAUDS,Kaspersky Next XDR Core 500-999 User 2 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4069IA1XRS,Kaspersky Next EDR Expert Middle East Edition. 2500-4999 User 4 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4066IAQXS,Kaspersky Next EDR Optimum 50-99 User 5 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4066IAYTS,Kaspersky Next EDR Optimum 5000+ User 3 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4066IAYXS,Kaspersky Next EDR Optimum 5000+ User 5 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4065IAQDS,Kaspersky Next XDR Foundations 50-99 User 2 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4054IAWTS,Kaspersky Next XDR Expert 1500-2499 User 3 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4066IAXTS,Kaspersky Next EDR Optimum 2500-4999 User 3 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4065IATFS,Kaspersky Next XDR Foundations 250-499 User 1 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4065IAXFS,Kaspersky Next XDR Foundations 2500-4999 User 1 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
Premium,"Kaspersky Home Premium (Windows, macOS,Android & iOS)-1 year
Real-time Antivirus
Online Payment Protection
Performance Optimisation
Unlimited Superfast VPN
Data Leak Checker
Identity Protection
Expert Virus Check & Removal","shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
Plus,"Kaspersky Home Plus (Windows, macOS,Android & iOS)-1 year
Real-time Antivirus
Online Payment Protection
Performance Optimisation
Unlimited Superfast VPN
Data Leak Checker","shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
Foundations1,Kaspersky Next EDR Foundations Middle East Edition-1 year,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
